=== Model information ===

Filename:     NaiveBayesMultinomialText_incremental_4.model
Scheme:       weka.classifiers.bayes.NaiveBayesMultinomialText -P 0 -M 1.0 -norm 1.0 -lnorm 2.0 -lowercase -stopwords-handler "weka.core.stopwords.WordsFromFile -stopwords C:\\Users\\mirki\\Desktop\\stopwords_en.txt" -tokenizer weka.core.tokenizers.AlphabeticTokenizer -stemmer "weka.core.stemmers.SnowballStemmer -S english"
Relation:     train_set
Attributes:   2
              text
              sentiment

=== Classifier model ===

Dictionary size: 1884

The independent frequency of a class
--------------------------------------
negative	761.0
neutral	760.0
positive	760.0

The frequency of a word given the class
-----------------------------------------
   negative	    neutral	   positive	
        2.0	        1.0	        2.0	ik
        1.0	        1.0	        2.0	rudig
        6.0	        2.0	        8.0	im
        1.0	        1.0	        2.0	defo
       65.0	       50.0	      138.0	in
        7.0	        2.0	        1.0	lower
       15.0	        9.0	        2.0	wtf
        1.0	        2.0	        2.0	tomorrow
      127.0	       65.0	      103.0	is
       28.0	       14.0	       18.0	it
        1.0	        1.0	        2.0	someday
        1.0	        2.0	        1.0	hella
        1.0	        1.0	        2.0	iv
        3.0	        1.0	        1.0	decid
        1.0	        2.0	        2.0	phil
        3.0	        2.0	        2.0	fodder
        1.0	        1.0	        2.0	notori
        1.0	        2.0	        1.0	depay
        1.0	        1.0	        2.0	becam
        5.0	        1.0	        1.0	gave
        1.0	        1.0	        2.0	john
        2.0	        1.0	        1.0	hahahahahahahahahahahaha
        1.0	        2.0	        2.0	hello
        1.0	        2.0	        1.0	cheeki
        1.0	        2.0	        3.0	begin
        1.0	        2.0	        1.0	somebodi
        2.0	        1.0	        1.0	brought
        1.0	        2.0	        1.0	valu
        1.0	        2.0	        1.0	crystal
        1.0	        1.0	        2.0	weekend
        2.0	        1.0	       14.0	amaz
        1.0	        1.0	        2.0	tournament
        2.0	        5.0	        1.0	believ
        3.0	        1.0	        1.0	smh
        1.0	        1.0	        2.0	moukoko
        1.0	        1.0	        2.0	muchhh
        6.0	        2.0	       11.0	world
        1.0	        2.0	        1.0	coutinho
        3.0	        1.0	        2.0	atleast
        1.0	        2.0	        1.0	mahrez
        1.0	        1.0	        2.0	guardian
        4.0	        3.0	        1.0	lmao
        1.0	        1.0	        2.0	penal
        2.0	        1.0	        3.0	side
        2.0	        1.0	        1.0	centuri
        2.0	        1.0	        1.0	themselv
       44.0	        7.0	       17.0	upgrad
       51.0	        1.0	        3.0	joke
        3.0	        1.0	        2.0	off
        1.0	        1.0	        2.0	la
        2.0	        1.0	        8.0	lb
        1.0	        1.0	        2.0	higua
        1.0	        2.0	        1.0	loftus
        1.0	        2.0	        5.0	fun
        3.0	        5.0	        6.0	ll
        1.0	        4.0	        1.0	lm
        1.0	        1.0	        2.0	expans
        2.0	        1.0	        1.0	sigh
        1.0	        2.0	        1.0	lo
        1.0	        3.0	       12.0	fut
        1.0	        1.0	        4.0	sign
        1.0	        4.0	        2.0	lw
        6.0	        3.0	        3.0	while
        1.0	        2.0	        2.0	jone
        2.0	        1.0	        1.0	firmino
        4.0	        3.0	        3.0	second
        1.0	        1.0	        2.0	phenomen
        2.0	        3.0	        1.0	jong
       36.0	       13.0	       27.0	that
        7.0	        2.0	        6.0	high
        8.0	        3.0	        5.0	faster
        3.0	        1.0	        1.0	soo
        2.0	        1.0	        1.0	son
        1.0	        1.0	        2.0	ma
        1.0	        2.0	        1.0	aidoo
       31.0	        8.0	       20.0	than
        9.0	       13.0	       15.0	me
        2.0	        1.0	        1.0	lockdown
        1.0	        2.0	        1.0	brighton
        1.0	        1.0	        2.0	eder
        3.0	        1.0	        2.0	level
       23.0	       10.0	       66.0	my
        6.0	        4.0	        7.0	dribbl
        3.0	        2.0	        1.0	plus
        1.0	        2.0	        3.0	kant
        1.0	        1.0	        2.0	mackay
        1.0	        1.0	        4.0	dream
        2.0	        2.0	        1.0	kroo
        2.0	        1.0	        6.0	nd
        1.0	        1.0	        2.0	balotelli
        1.0	        2.0	        1.0	updat
        4.0	        2.0	        2.0	bundesliga
        1.0	        2.0	        1.0	kane
        1.0	        1.0	        2.0	birthday
       31.0	       10.0	       11.0	no
        3.0	        2.0	        2.0	behind
        3.0	        1.0	        3.0	scorer
        2.0	        1.0	        1.0	mental
        1.0	        1.0	        2.0	yeeeeah
        1.0	        2.0	        2.0	box
        5.0	        1.0	        8.0	decent
       11.0	        3.0	        3.0	boy
        1.0	        3.0	        1.0	switch
        3.0	        2.0	        2.0	head
        1.0	        1.0	        3.0	total
        2.0	        1.0	        1.0	bisaka
       49.0	       20.0	       76.0	of
        2.0	        1.0	        1.0	og
        7.0	        1.0	        6.0	oh
        2.0	        1.0	        1.0	downgradealmost
        1.0	        1.0	        3.0	possibl
        2.0	        1.0	        1.0	somehow
        1.0	        2.0	        1.0	oi
        2.0	        1.0	        1.0	loser
        1.0	        1.0	        2.0	brick
        3.0	        1.0	        4.0	ok
        2.0	        5.0	        2.0	alaba
        2.0	        2.0	        1.0	thoma
        2.0	        1.0	        1.0	fight
        2.0	        1.0	        1.0	hear
       23.0	       26.0	       32.0	on
        1.0	        1.0	        2.0	bpl
        1.0	        5.0	       18.0	op
       17.0	      152.0	        9.0	or
        2.0	        1.0	        1.0	wheel
        1.0	        1.0	        4.0	cross
        1.0	        2.0	        1.0	control
        1.0	        1.0	        2.0	grabdfath
        5.0	        1.0	        4.0	pretti
        1.0	        1.0	        3.0	extrem
        1.0	        1.0	        2.0	equip
        2.0	        2.0	        1.0	earth
        2.0	        1.0	        1.0	offici
        2.0	        2.0	        3.0	carlo
        3.0	        2.0	        4.0	pl
        1.0	        2.0	        1.0	meunier
        1.0	        1.0	        2.0	osimhen
        1.0	        1.0	        2.0	ps
        1.0	        3.0	        1.0	hertha
        2.0	        1.0	        1.0	salah
        1.0	        5.0	        1.0	correa
        2.0	        2.0	        3.0	injuri
        1.0	        1.0	        4.0	goalkeep
        3.0	        1.0	        1.0	ziyech
        1.0	        2.0	        1.0	bremen
        2.0	        1.0	        1.0	scandal
        2.0	        1.0	        1.0	qf
        2.0	        1.0	        2.0	friend
        2.0	        2.0	        1.0	recent
       34.0	        6.0	        4.0	they
        1.0	        1.0	        3.0	bro
        3.0	        2.0	        4.0	old
        3.0	        1.0	        1.0	gotta
        3.0	        3.0	        1.0	kdb
        4.0	        1.0	        5.0	them
        7.0	        4.0	        2.0	then
        1.0	        1.0	        2.0	edin
        3.0	        3.0	        5.0	rb
        2.0	        1.0	        1.0	doint
        2.0	        1.0	        1.0	rd
        2.0	        1.0	        2.0	re
        1.0	        3.0	        1.0	bsc
        1.0	        1.0	        2.0	includ
        1.0	        1.0	        2.0	rl
        3.0	        1.0	        5.0	madrid
        1.0	        2.0	        1.0	rm
        2.0	        3.0	        1.0	rn
        1.0	        2.0	        1.0	minut
        3.0	        1.0	        1.0	minus
        1.0	        2.0	        2.0	sub
        1.0	        1.0	        2.0	kudus
        1.0	        1.0	        2.0	jota
        1.0	        2.0	        1.0	access
        4.0	        5.0	        1.0	rw
        1.0	        2.0	        1.0	unread
        1.0	        1.0	        4.0	omg
        2.0	        3.0	        2.0	walkout
        1.0	        1.0	        2.0	sevilla
        1.0	        7.0	        1.0	portu
        1.0	        3.0	        1.0	seel
        1.0	        2.0	        1.0	goretzka
        1.0	        1.0	        4.0	seen
        6.0	        1.0	        4.0	seem
        1.0	        1.0	        2.0	sup
        1.0	        2.0	        3.0	porto
        1.0	        1.0	        2.0	sus
        1.0	        2.0	        1.0	himm
        1.0	        2.0	        2.0	current
        5.0	        1.0	        1.0	sh
        3.0	        1.0	        2.0	sm
       35.0	       14.0	       49.0	so
        2.0	        1.0	        1.0	unreal
        2.0	        2.0	        1.0	canttt
        1.0	        7.0	        7.0	st
        1.0	        3.0	       49.0	starter
        2.0	        1.0	        3.0	btw
        3.0	        1.0	        2.0	onc
        3.0	        1.0	        2.0	dougla
       14.0	        5.0	       30.0	one
        1.0	        2.0	        4.0	centr
        1.0	        2.0	        3.0	anymor
        1.0	        1.0	        2.0	veron
        1.0	        1.0	        3.0	monster
        1.0	        2.0	        2.0	stori
        1.0	        2.0	        1.0	miyaichi
        1.0	        2.0	        1.0	confirm
        2.0	        1.0	        1.0	emerg
        2.0	        2.0	        1.0	pull
        9.0	        2.0	        1.0	tf
        3.0	        1.0	        1.0	th
        2.0	        3.0	       10.0	assist
        1.0	        1.0	        2.0	startet
       60.0	       89.0	       65.0	to
       48.0	       10.0	       23.0	but
        2.0	        3.0	        1.0	everton
        2.0	       10.0	        2.0	expens
        2.0	        2.0	        1.0	ty
        8.0	       24.0	        4.0	buy
        1.0	        2.0	        1.0	reales
        1.0	        1.0	        2.0	wick
        1.0	        1.0	        2.0	bvb
        2.0	        1.0	        1.0	sooooo
        1.0	       11.0	        6.0	sniper
        7.0	       17.0	        9.0	up
        3.0	        3.0	        2.0	us
        1.0	        2.0	        1.0	laport
        1.0	        1.0	        2.0	legenda
        1.0	        2.0	        1.0	sink
        1.0	        2.0	        1.0	solut
      107.0	       34.0	       93.0	this
        1.0	        2.0	        1.0	noic
        6.0	        2.0	        3.0	ve
        1.0	        2.0	        1.0	jadon
        9.0	        1.0	        1.0	undeserv
        2.0	        1.0	        1.0	milner
        2.0	        1.0	        1.0	becuz
        1.0	        2.0	        1.0	dubravka
        1.0	        2.0	        2.0	brazilian
        8.0	        4.0	        3.0	know
        1.0	        1.0	        2.0	salvio
        2.0	        1.0	        1.0	support
        1.0	        2.0	        1.0	vs
        4.0	        1.0	       13.0	sinc
       23.0	        5.0	        5.0	higher
        2.0	        5.0	        3.0	coin
        2.0	        1.0	        1.0	punt
        1.0	        7.0	        2.0	drop
        2.0	        1.0	        1.0	orribl
        1.0	        2.0	        1.0	idea
        2.0	        1.0	        1.0	kid
        2.0	        1.0	        2.0	donkey
        1.0	        1.0	        2.0	throne
        1.0	        1.0	        2.0	changer
        1.0	        2.0	        1.0	cole
        1.0	        1.0	        4.0	unstopp
        9.0	       14.0	        3.0	we
        3.0	        2.0	        1.0	life
       10.0	        3.0	        4.0	wf
        1.0	        1.0	        2.0	wk
        2.0	        1.0	        1.0	hahaha
        2.0	        2.0	        8.0	wl
        2.0	        2.0	        1.0	kit
        2.0	        1.0	        1.0	ampute
        2.0	        1.0	        1.0	wr
        1.0	        4.0	        1.0	klostermann
        1.0	        2.0	        1.0	gay
        2.0	        1.0	        2.0	choic
        1.0	        1.0	        2.0	assit
        4.0	        1.0	        1.0	horribl
        2.0	        1.0	        1.0	gradual
        1.0	        1.0	        2.0	slight
        1.0	        1.0	        3.0	previous
        2.0	        1.0	        1.0	weaker
        1.0	        1.0	        3.0	forev
        2.0	        1.0	        1.0	freekick
        2.0	        1.0	        1.0	anthoni
        1.0	        2.0	        1.0	bye
        2.0	        3.0	        5.0	damn
        1.0	        1.0	        2.0	turnin
        3.0	        2.0	        1.0	reach
        2.0	        1.0	        1.0	ya
        7.0	        1.0	        1.0	massacr
        1.0	        2.0	        1.0	none
        5.0	        4.0	        5.0	liverpool
        1.0	        1.0	        3.0	ye
        1.0	        2.0	        1.0	type
        5.0	        2.0	        2.0	hell
        3.0	        1.0	        1.0	april
        1.0	        2.0	        2.0	realis
        2.0	        1.0	        1.0	beyond
        3.0	        2.0	        4.0	problem
        2.0	        2.0	        1.0	hazard
        2.0	        1.0	        1.0	yo
        1.0	        1.0	        2.0	review
        1.0	        1.0	        2.0	ligu
        1.0	        2.0	        1.0	yt
        1.0	        1.0	        2.0	cont
        1.0	        1.0	        2.0	roam
        1.0	        1.0	        2.0	between
        1.0	        2.0	        1.0	storylin
        2.0	        1.0	        1.0	comp
       18.0	        8.0	       22.0	goal
        1.0	        1.0	        3.0	liga
        6.0	       12.0	        3.0	come
        1.0	        1.0	        3.0	tonali
        2.0	        1.0	       32.0	goat
        3.0	        1.0	        1.0	exist
        1.0	        4.0	        4.0	otw
        1.0	        2.0	        1.0	penalti
        3.0	        1.0	        1.0	exact
        1.0	        1.0	        2.0	lift
        2.0	        1.0	        1.0	pathet
        2.0	        1.0	        1.0	henc
        1.0	        2.0	        1.0	wear
        2.0	        3.0	        2.0	our
        2.0	        1.0	        1.0	sportsman
        1.0	        1.0	        3.0	gem
       15.0	        3.0	        6.0	weak
        8.0	        6.0	        8.0	out
        1.0	        1.0	        3.0	rock
        2.0	        1.0	        2.0	leak
        1.0	        1.0	        2.0	impress
        3.0	        2.0	        1.0	ghost
        2.0	        2.0	        1.0	composur
       40.0	       19.0	       29.0	get
        2.0	        1.0	        1.0	disrespectful
        1.0	        1.0	        2.0	gooooood
        1.0	        2.0	        2.0	prome
        1.0	        1.0	        3.0	power
        3.0	        1.0	        2.0	place
        1.0	        1.0	        2.0	accur
        2.0	        2.0	        2.0	leav
        3.0	        1.0	        1.0	messi
        2.0	        1.0	        1.0	regular
        1.0	        7.0	        2.0	someon
        1.0	        2.0	        1.0	bellerin
        2.0	        1.0	        1.0	derserv
        1.0	        1.0	        2.0	restart
        3.0	        1.0	        1.0	bigger
        1.0	        2.0	        4.0	cool
        5.0	      109.0	        3.0	sell
        1.0	        1.0	        2.0	suspect
        4.0	        3.0	        7.0	alway
        1.0	        1.0	        2.0	observ
        1.0	        1.0	        2.0	lead
        1.0	        4.0	        2.0	help
        2.0	        2.0	        3.0	expect
        2.0	        1.0	        1.0	someh
        5.0	        3.0	        1.0	minimum
        1.0	        1.0	        2.0	magic
        2.0	        1.0	        1.0	dress
        2.0	        1.0	        1.0	haha
        2.0	        1.0	        1.0	whatsoev
        2.0	        1.0	        1.0	utter
        1.0	        1.0	        2.0	maicon
        1.0	        1.0	        3.0	sound
        1.0	        2.0	        1.0	baaaaaaaaaaaaaaaaaaaaaad
        4.0	        1.0	        2.0	costa
        1.0	        3.0	        1.0	lazio
        1.0	        1.0	        2.0	taa
        1.0	        1.0	        2.0	plain
      110.0	       35.0	        2.0	should
        2.0	        1.0	        1.0	quadrupl
        4.0	        3.0	        1.0	sens
        1.0	        1.0	        2.0	proud
        1.0	        2.0	        1.0	curious
       20.0	       17.0	       27.0	like
        1.0	        1.0	        2.0	maxim
       25.0	        9.0	       13.0	onli
        2.0	        1.0	        1.0	fraud
        2.0	        2.0	        1.0	person
        2.0	        1.0	        2.0	klopp
        1.0	        1.0	        4.0	tbf
        3.0	        3.0	        4.0	tbh
        1.0	        2.0	        1.0	send
        3.0	        1.0	        3.0	arsenal
        5.0	        8.0	        3.0	here
        2.0	        6.0	        4.0	week
        1.0	        1.0	        2.0	favoriten
        4.0	        1.0	        1.0	noth
        1.0	       13.0	       15.0	link
        1.0	        1.0	        2.0	snake
        1.0	        1.0	        2.0	deliv
        2.0	        1.0	        1.0	becom
        1.0	        1.0	        6.0	hero
        1.0	       13.0	       17.0	cam
       13.0	       25.0	       19.0	can
        2.0	        1.0	        1.0	drama
        1.0	        2.0	        2.0	hair
        2.0	        2.0	        1.0	award
        1.0	        1.0	        4.0	cap
        1.0	        1.0	        2.0	februari
        1.0	        2.0	        1.0	malcuit
        2.0	        1.0	        1.0	weed
        1.0	        1.0	        3.0	immobil
       13.0	        6.0	       11.0	realli
        3.0	        1.0	        1.0	davi
       39.0	       11.0	       67.0	player
        1.0	        1.0	       13.0	greatest
        2.0	        1.0	        1.0	smooth
        2.0	        1.0	        1.0	finees
        1.0	        1.0	        2.0	cbb
        1.0	        7.0	        1.0	cost
       12.0	       59.0	       36.0	will
        1.0	        3.0	        5.0	match
        2.0	        1.0	        1.0	smoke
        1.0	        2.0	        1.0	leed
        1.0	        2.0	        1.0	follow
        2.0	        1.0	        1.0	mediocr
        1.0	        1.0	        2.0	granada
        1.0	        2.0	        1.0	shhhhh
        1.0	        2.0	        1.0	tuesday
        1.0	        1.0	        5.0	cbs
        1.0	        1.0	        2.0	bernadschi
        1.0	        1.0	        2.0	snap


=== Re-evaluation on test set ===

User supplied test set
Relation:     08-11-2020-weka.filters.unsupervised.attribute.NominalToString-C1
Instances:     unknown (yet). Reading incrementally
Attributes:   2

=== Predictions on user test set ===

    inst#     actual  predicted error prediction
        1 1:negative 1:negative       0.942 
        2 1:negative 1:negative       0.575 
        3 1:negative 1:negative       0.998 
        4 1:negative 1:negative       0.465 
        5 1:negative 1:negative       0.821 
        6 1:negative 1:negative       0.999 
        7 1:negative 1:negative       0.836 
        8 1:negative 1:negative       0.993 
        9 1:negative 1:negative       0.872 
       10 1:negative  2:neutral   +   0.567 
       11 1:negative 1:negative       1 
       12 1:negative 1:negative       0.828 
       13 1:negative 1:negative       0.7 
       14 1:negative 1:negative       0.851 
       15 1:negative 3:positive   +   0.652 
       16 1:negative 3:positive   +   0.974 
       17 1:negative 1:negative       0.581 
       18 1:negative 1:negative       0.863 
       19 1:negative 1:negative       0.989 
       20 1:negative 1:negative       0.937 
       21  2:neutral  2:neutral       0.64 
       22  2:neutral  2:neutral       0.854 
       23  2:neutral 1:negative   +   0.875 
       24  2:neutral  2:neutral       0.695 
       25  2:neutral  2:neutral       1 
       26  2:neutral  2:neutral       0.999 
       27  2:neutral  2:neutral       0.575 
       28  2:neutral  2:neutral       0.972 
       29  2:neutral  2:neutral       0.807 
       30  2:neutral  2:neutral       1 
       31  2:neutral  2:neutral       0.426 
       32  2:neutral  2:neutral       0.998 
       33  2:neutral 3:positive   +   0.849 
       34  2:neutral  2:neutral       1 
       35  2:neutral  2:neutral       0.998 
       36  2:neutral  2:neutral       1 
       37  2:neutral 3:positive   +   0.59 
       38  2:neutral 3:positive   +   0.997 
       39  2:neutral 3:positive   +   0.454 
       40  2:neutral 3:positive   +   0.857 
       41 3:positive 3:positive       0.999 
       42 3:positive 3:positive       0.953 
       43 3:positive 3:positive       0.965 
       44 3:positive 3:positive       0.92 
       45 3:positive 3:positive       0.994 
       46 3:positive 3:positive       0.999 
       47 3:positive 3:positive       0.906 
       48 3:positive 3:positive       0.997 
       49 3:positive 3:positive       0.886 
       50 3:positive 3:positive       1 
       51 3:positive 3:positive       0.967 
       52 3:positive 3:positive       0.969 
       53 3:positive 3:positive       0.79 
       54 3:positive 3:positive       0.646 
       55 3:positive 3:positive       0.906 
       56 3:positive 3:positive       0.97 
       57 3:positive 3:positive       0.785 
       58 3:positive 3:positive       0.988 
       59 3:positive 3:positive       0.63 
       60 3:positive 3:positive       1 
       61 1:negative 3:positive   +   0.38 
       62 1:negative 1:negative       0.994 
       63 1:negative 1:negative       0.845 
       64 1:negative  2:neutral   +   0.48 
       65 1:negative 1:negative       0.625 
       66 1:negative 1:negative       0.636 
       67 1:negative 1:negative       0.818 
       68 1:negative 3:positive   +   0.933 
       69 1:negative  2:neutral   +   0.984 
       70 1:negative 3:positive   +   0.61 
       71 1:negative 1:negative       0.689 
       72 1:negative 3:positive   +   0.875 
       73 1:negative 1:negative       0.669 
       74 1:negative 1:negative       0.807 
       75 1:negative  2:neutral   +   0.823 
       76 1:negative 1:negative       0.954 
       77 1:negative 1:negative       0.538 
       78 1:negative 1:negative       0.986 
       79 1:negative 1:negative       0.902 
       80 1:negative 3:positive   +   0.513 
       81  2:neutral 3:positive   +   0.773 
       82  2:neutral 3:positive   +   0.905 
       83  2:neutral  2:neutral       0.824 
       84  2:neutral  2:neutral       0.999 
       85  2:neutral  2:neutral       0.605 
       86  2:neutral  2:neutral       0.976 
       87  2:neutral  2:neutral       0.867 
       88  2:neutral 3:positive   +   0.485 
       89  2:neutral 3:positive   +   0.672 
       90  2:neutral  2:neutral       0.881 
       91  2:neutral 3:positive   +   0.968 
       92  2:neutral 3:positive   +   0.604 
       93  2:neutral  2:neutral       0.97 
       94  2:neutral 3:positive   +   0.381 
       95  2:neutral 3:positive   +   0.701 
       96  2:neutral  2:neutral       0.753 
       97  2:neutral  2:neutral       0.959 
       98  2:neutral  2:neutral       0.992 
       99  2:neutral  2:neutral       0.97 
      100  2:neutral 1:negative   +   0.528 
      101 3:positive 3:positive       0.997 
      102 3:positive  2:neutral   +   0.986 
      103 3:positive 1:negative   +   0.745 
      104 3:positive 3:positive       0.989 
      105 3:positive  2:neutral   +   0.73 
      106 3:positive 3:positive       1 
      107 3:positive 3:positive       0.997 
      108 3:positive 3:positive       0.921 
      109 3:positive 3:positive       0.967 
      110 3:positive 3:positive       0.768 
      111 3:positive 3:positive       0.899 
      112 3:positive 3:positive       0.983 
      113 3:positive 3:positive       0.821 
      114 3:positive 3:positive       0.665 
      115 3:positive 3:positive       0.981 
      116 3:positive 3:positive       0.842 
      117 3:positive 3:positive       0.608 
      118 3:positive 3:positive       0.859 
      119 3:positive 3:positive       0.988 
      120 3:positive 1:negative   +   0.81 

=== Summary ===

Correctly Classified Instances          90               75      %
Incorrectly Classified Instances        30               25      %
Kappa statistic                          0.625 
Mean absolute error                      0.2106
Root mean squared error                  0.3614
Total Number of Instances              120     

=== Detailed Accuracy By Class ===

                 TP Rate  FP Rate  Precision  Recall   F-Measure  MCC      ROC Area  PRC Area  Class
                 0,725    0,050    0,879      0,725    0,795      0,713    0,906     0,864     negative
                 0,625    0,075    0,806      0,625    0,704      0,592    0,856     0,786     neutral
                 0,900    0,250    0,643      0,900    0,750      0,614    0,906     0,829     positive
Weighted Avg.    0,750    0,125    0,776      0,750    0,750      0,640    0,889     0,826     

=== Confusion Matrix ===

  a  b  c   <-- classified as
 29  4  7 |  a = negative
  2 25 13 |  b = neutral
  2  2 36 |  c = positive

